absolutističnostima | ABSOLUTISTIČNOST - [pravopis]
farmakovigilančnima | FARMAKOVIGILANČEN - [farm.] v zvezi »dobra farmakovigilančna praksa«: smernice za izvajanje farmakovigilančnih aktivnosti v skladu s predpisi, ki veljajo za imetnike dovoljenj za promet z zdravilom in pristojne organe za zdravila
farmakovigilančnimi | FARMAKOVIGILANČEN - [farm.] v zvezi »dobra farmakovigilančna praksa«: smernice za izvajanje farmakovigilančnih aktivnosti v skladu s predpisi, ki veljajo za imetnike dovoljenj za promet z zdravilom in pristojne organe za zdravila
federalističnostima | FEDERALISTIČNOST - [pravopis]
feljtonističnostima | FELJTONISTIČNOST - [pravopis]
fenilalkilaminskega | FENILALKILAMINSKI - [farm.] v zvezi »fenilalkilaminski derivat«: zaviralec kalcijevih kanalčkov, ki deluje zlasti na srčnomišične celice in se uporablja za zdravljenje angine pektoris, vazodilatacija na periferiji pa je manj izrazita, npr. verapamil
fenilalkilaminskemu | FENILALKILAMINSKI - [farm.] v zvezi »fenilalkilaminski derivat«: zaviralec kalcijevih kanalčkov, ki deluje zlasti na srčnomišične celice in se uporablja za zdravljenje angine pektoris, vazodilatacija na periferiji pa je manj izrazita, npr. verapamil
fenilalkilaminskima | FENILALKILAMINSKI - [farm.] v zvezi »fenilalkilaminski derivat«: zaviralec kalcijevih kanalčkov, ki deluje zlasti na srčnomišične celice in se uporablja za zdravljenje angine pektoris, vazodilatacija na periferiji pa je manj izrazita, npr. verapamil
fenilalkilaminskimi | FENILALKILAMINSKI - [farm.] v zvezi »fenilalkilaminski derivat«: zaviralec kalcijevih kanalčkov, ki deluje zlasti na srčnomišične celice in se uporablja za zdravljenje angine pektoris, vazodilatacija na periferiji pa je manj izrazita, npr. verapamil
feniletilizokinolin | > FENILETILIZOKINOLINSKI - [farm.] v zvezi »feniletilizokinolinski alkaloid«: alkaloid iz skupine izokinolinskih alkaloidov, katerega osnovna struktura je feniletilizokinolin, npr. autumnalin
fenilpiperidinskega | FENILPIPERIDINSKI - [farm.] v zvezi »fenilpiperidinski derivati«: opioidni analgetiki s fenilnim obročem na mestu 4 piperidina, ki se vežejo na opioidne receptorje v centralnem živčnem sistemu, npr. petidin, fentanil
fenilpiperidinskemu | FENILPIPERIDINSKI - [farm.] v zvezi »fenilpiperidinski derivati«: opioidni analgetiki s fenilnim obročem na mestu 4 piperidina, ki se vežejo na opioidne receptorje v centralnem živčnem sistemu, npr. petidin, fentanil
fenilpiperidinskima | FENILPIPERIDINSKI - [farm.] v zvezi »fenilpiperidinski derivati«: opioidni analgetiki s fenilnim obročem na mestu 4 piperidina, ki se vežejo na opioidne receptorje v centralnem živčnem sistemu, npr. petidin, fentanil
fenilpiperidinskimi | FENILPIPERIDINSKI - [farm.] v zvezi »fenilpiperidinski derivati«: opioidni analgetiki s fenilnim obročem na mestu 4 piperidina, ki se vežejo na opioidne receptorje v centralnem živčnem sistemu, npr. petidin, fentanil
feroelektričnostima | FEROELEKTRIČNOST - [pravopis]
filatelističnostima | FILATELISTIČNOST - [pravopis]
filmskozgodovinskem | FILMSKOZGODOVINSKI - [pravopis]
filmskozgodovinskih | FILMSKOZGODOVINSKI - [pravopis]
filmskozgodovinskim | FILMSKOZGODOVINSKI - [pravopis]
filološkokritičnega | FILOLOŠKOKRITIČEN - [pravopis]
filološkokritičnemu | FILOLOŠKOKRITIČEN - [pravopis]
filološkokritičnima | FILOLOŠKOKRITIČEN - [pravopis]
filološkokritičnimi | FILOLOŠKOKRITIČEN - [pravopis]
filumenističnostima | FILUMENISTIČNOST - [pravopis]
fitofarmakologijama | FITOFARMAKOLOGIJA - [bot.] panoga farmakologije, ki se ukvarja z raziskovanjem delovanja kemičnih sredstev za varstvo rastlin na rastline
fitofarmakologijami | FITOFARMAKOLOGIJA - [bot.] panoga farmakologije, ki se ukvarja z raziskovanjem delovanja kemičnih sredstev za varstvo rastlin na rastline
fitoklimatologijama | FITOKLIMATOLOGIJA - [agr.] bioklimatologija, ki proučuje mikroklimatske razmere v rastlinskem pokrovu in na površini rastlin
fitoklimatologijami | FITOKLIMATOLOGIJA - [agr.] bioklimatologija, ki proučuje mikroklimatske razmere v rastlinskem pokrovu in na površini rastlin
fitopaleontologijah | FITOPALEONTOLOGIJA - [geol.] paleontologija, ki proučuje fosilne rastlinske ostanke
fitopaleontologijam | FITOPALEONTOLOGIJA - [geol.] paleontologija, ki proučuje fosilne rastlinske ostanke
fitostabilizacijama | FITOSTABILIZACIJA - [agr.] postopek obdelave onesnaženih tal z rastlinami, pri katerem se onesnažila vežejo v organsko snov, zaradi česar se zmanjšata dostopnost in mobilnost onesnažil in prepreči njihovo spiranje, izhlapevanje ali prenašanje z vetrom ali vodo
fitostabilizacijami | FITOSTABILIZACIJA - [agr.] postopek obdelave onesnaženih tal z rastlinami, pri katerem se onesnažila vežejo v organsko snov, zaradi česar se zmanjšata dostopnost in mobilnost onesnažil in prepreči njihovo spiranje, izhlapevanje ali prenašanje z vetrom ali vodo
fizičnogeografskega | FIZIČNOGEOGRAFSKI - [geog.] v zvezi »fizičnogeografska karta«: tematski zemljevid, ki prikazuje naravnogeografske pojave in procese na Zemljinem površju, npr. relief, vodovje, rastlinstvo
fizičnogeografskemu | FIZIČNOGEOGRAFSKI - [geog.] v zvezi »fizičnogeografska karta«: tematski zemljevid, ki prikazuje naravnogeografske pojave in procese na Zemljinem površju, npr. relief, vodovje, rastlinstvo
fizičnogeografskima | FIZIČNOGEOGRAFSKI - [geog.] v zvezi »fizičnogeografska karta«: tematski zemljevid, ki prikazuje naravnogeografske pojave in procese na Zemljinem površju, npr. relief, vodovje, rastlinstvo
fizičnogeografskimi | FIZIČNOGEOGRAFSKI - [geog.] v zvezi »fizičnogeografska karta«: tematski zemljevid, ki prikazuje naravnogeografske pojave in procese na Zemljinem površju, npr. relief, vodovje, rastlinstvo
fizikalnokemijskega | FIZIKALNOKEMIJSKI - [epravopis] nanašajoč se na fizikalno kemijo
fizikalnokemijskemu | FIZIKALNOKEMIJSKI - [epravopis] nanašajoč se na fizikalno kemijo
fizikalnokemijskima | FIZIKALNOKEMIJSKI - [epravopis] nanašajoč se na fizikalno kemijo
fizikalnokemijskimi | FIZIKALNOKEMIJSKI - [epravopis] nanašajoč se na fizikalno kemijo
fizioterapevtskosti | FIZIOTERAPEVTSKOST - [pravopis]
flavinmononukleotid | > RIBOFLAVIN - [farm.] v vodi topen vitamin, sestavljen iz ribitola in dimetilizoaloksazina, ki se v organizmu pretvori v flavinmononukleotid in nato v flavin-adenin-dinukleotid, ki je kofaktor pri številnih redoks reakcijah, kjer pride do prenašanja hidridnih anionov in sodeluje pri rasti, antioksidantni zaščiti in metabolizmu številnih organskih molekul
fludarabinfosfatoma | FLUDARABINFOSFAT - > PURINSKI - [farm.] v zvezi »analog purinskih baz«: antimetabolit, ki zavira biosintezo purinov, zato ovira sintezo RNA in DNA, podvajanje kromosomov in sintezo glikoproteinov, najpogosteje se uporablja za zdravljenje različnih levkemij, npr. merkaptopurin, fludarabinfosfat
fluoroogljikovodika | FLUOROOGLJIKOVODIKI - [geog.] ozonski plasti škodljive tekoče spojine, pri katerih so vodikovi atomi v nasičenih ogljikovodikih v celoti ali delno zamenjani s fluorom in se uporabljajo kot pogonski plini v pršilnikih, hladilna sredstva v hladilnikih in klimatskih napravah, za maziva, gašenje
fluoroogljikovodike | FLUOROOGLJIKOVODIKI - [geog.] ozonski plasti škodljive tekoče spojine, pri katerih so vodikovi atomi v nasičenih ogljikovodikih v celoti ali delno zamenjani s fluorom in se uporabljajo kot pogonski plini v pršilnikih, hladilna sredstva v hladilnikih in klimatskih napravah, za maziva, gašenje
fluoroogljikovodiki | [geog.] ozonski plasti škodljive tekoče spojine, pri katerih so vodikovi atomi v nasičenih ogljikovodikih v celoti ali delno zamenjani s fluorom in se uporabljajo kot pogonski plini v pršilnikih, hladilna sredstva v hladilnikih in klimatskih napravah, za maziva, gašenje
fluoroogljikovodiku | FLUOROOGLJIKOVODIKI - [geog.] ozonski plasti škodljive tekoče spojine, pri katerih so vodikovi atomi v nasičenih ogljikovodikih v celoti ali delno zamenjani s fluorom in se uporabljajo kot pogonski plini v pršilnikih, hladilna sredstva v hladilnikih in klimatskih napravah, za maziva, gašenje
fluviodenudacijskem | FLUVIODENUDACIJSKI - [geog.] v zvezi »fluviodenudacijski relief«: relief z značilnimi oblikami, nastalimi z delovanjem tekoče vode, erozije in denudacije
fluviodenudacijskih | FLUVIODENUDACIJSKI - [geog.] v zvezi »fluviodenudacijski relief«: relief z značilnimi oblikami, nastalimi z delovanjem tekoče vode, erozije in denudacije
fluviodenudacijskim | FLUVIODENUDACIJSKI - [geog.] v zvezi »fluviodenudacijski relief«: relief z značilnimi oblikami, nastalimi z delovanjem tekoče vode, erozije in denudacije
folklorističnostima | FOLKLORISTIČNOST - [pravopis]
fonokardiografijama | FONOKARDIOGRAFIJA - [pravopis]
fonokardiografijami | FONOKARDIOGRAFIJA - [pravopis]
fontainebleaujskega | FONTAINEBLEAUJSKI - [pravopis]
fontainebleaujskemu | FONTAINEBLEAUJSKI - [pravopis]
fontainebleaujskima | FONTAINEBLEAUJSKI - [pravopis]
fontainebleaujskimi | FONTAINEBLEAUJSKI - [pravopis]
formalnopravnostima | FORMALNOPRAVNOST - [pravopis]
formiltransferazama | FORMILTRANSFERAZA - > FOLEN - [farm.] v zvezi »analog folne kisline«: antimetabolit, po strukturi podoben folni kislini, ki kot zaviralec encimov timidilat sintetaze, dihidrofolat reduktaze in glicinamid-ribonukleotid formiltransferaze ovira sintezo gradnikov nukleinskih kislin, zato se uporablja za zdravljenje rakavih obolenj, pogosto tudi kot imunosupresiv, npr. metotreksat
formiltransferazami | FORMILTRANSFERAZA - > FOLEN - [farm.] v zvezi »analog folne kisline«: antimetabolit, po strukturi podoben folni kislini, ki kot zaviralec encimov timidilat sintetaze, dihidrofolat reduktaze in glicinamid-ribonukleotid formiltransferaze ovira sintezo gradnikov nukleinskih kislin, zato se uporablja za zdravljenje rakavih obolenj, pogosto tudi kot imunosupresiv, npr. metotreksat
fosfoenolpiruvatoma | FOSFOENOLPIRUVAT - [bot.]
fosforescenčnostima | FOSFORESCENČNOST - [pravopis]
fosforescentnostima | FOSFORESCENTNOST - [pravopis]
fotodiferenciacijah | FOTODIFERENCIACIJA - [bot.] nepovratni proces v rastlinah zaradi induktivnega delovanja svetlobe, ki sproži spremembe v zgradbi, rasti ali delovanju, npr. kalitev, cvetenje
fotodiferenciacijam | FOTODIFERENCIACIJA - [bot.] nepovratni proces v rastlinah zaradi induktivnega delovanja svetlobe, ki sproži spremembe v zgradbi, rasti ali delovanju, npr. kalitev, cvetenje
fotodokumentacijama | FOTODOKUMENTACIJA - zbirka fotografij v zvezi z določenim delom, vprašanjem
fotodokumentacijami | FOTODOKUMENTACIJA - zbirka fotografij v zvezi z določenim delom, vprašanjem
fotoelektričnostima | FOTOELEKTRIČNOST - [pravopis]
fotofosforilacijama | FOTOFOSFORILACIJA - [bot.] nastajanje molekul ATP iz ADP in anorganskega fosfata s pomočjo protonskega gradienta, ki ga ustvari fotosintezna elektronska transportna veriga
fotofosforilacijami | FOTOFOSFORILACIJA - [bot.] nastajanje molekul ATP iz ADP in anorganskega fosfata s pomočjo protonskega gradienta, ki ga ustvari fotosintezna elektronska transportna veriga
fotogrametričnostih | FOTOGRAMETRIČNOST - [pravopis]
fotogrametričnostim | FOTOGRAMETRIČNOST - [pravopis]
fotogrametričnostjo | FOTOGRAMETRIČNOST - [pravopis]
fotogrametričnostma | FOTOGRAMETRIČNOST - [pravopis]
fotogrametričnostmi | FOTOGRAMETRIČNOST - [pravopis]
fotokonduktivnostih | FOTOKONDUKTIVNOST - [geol.] prevodnost svetlobe v različnih snoveh enake debeline
fotokonduktivnostim | FOTOKONDUKTIVNOST - [geol.] prevodnost svetlobe v različnih snoveh enake debeline
fotokonduktivnostjo | FOTOKONDUKTIVNOST - [geol.] prevodnost svetlobe v različnih snoveh enake debeline
fotokonduktivnostma | FOTOKONDUKTIVNOST - [geol.] prevodnost svetlobe v različnih snoveh enake debeline
fotokonduktivnostmi | FOTOKONDUKTIVNOST - [geol.] prevodnost svetlobe v različnih snoveh enake debeline
fotomorfogenetskega | FOTOMORFOGENETSKI - [bot.] v zvezi »fotomorfogenetsko delovanje sevanja«: ontogenetski razvoj oblike in zgradbe tkiv, organov ali organizma zaradi delovanja svetlobe, npr. diferenciacija kloroplastov, razvoj senčnih ali sončnih listov, razvoj sončnih ali senčnih rastlin
fotomorfogenetskemu | FOTOMORFOGENETSKI - [bot.] v zvezi »fotomorfogenetsko delovanje sevanja«: ontogenetski razvoj oblike in zgradbe tkiv, organov ali organizma zaradi delovanja svetlobe, npr. diferenciacija kloroplastov, razvoj senčnih ali sončnih listov, razvoj sončnih ali senčnih rastlin
fotomorfogenetskima | FOTOMORFOGENETSKI - [bot.] v zvezi »fotomorfogenetsko delovanje sevanja«: ontogenetski razvoj oblike in zgradbe tkiv, organov ali organizma zaradi delovanja svetlobe, npr. diferenciacija kloroplastov, razvoj senčnih ali sončnih listov, razvoj sončnih ali senčnih rastlin
fotomorfogenetskimi | FOTOMORFOGENETSKI - [bot.] v zvezi »fotomorfogenetsko delovanje sevanja«: ontogenetski razvoj oblike in zgradbe tkiv, organov ali organizma zaradi delovanja svetlobe, npr. diferenciacija kloroplastov, razvoj senčnih ali sončnih listov, razvoj sončnih ali senčnih rastlin
fotoperiodičnostima | FOTOPERIODIČNOST - [geog.] menjavanje dneva in noči, spremembe v razmerju med dolžino dneva in noči v različnih obdobjih leta, ki vplivajo na aktivnost organizmov
fotoreportažnostima | FOTOREPORTAŽNOST - [pravopis]
fotoreporterskostih | FOTOREPORTERSKOST - [pravopis]
fotoreporterskostim | FOTOREPORTERSKOST - [pravopis]
fotoreporterskostjo | FOTOREPORTERSKOST - [pravopis]
fotoreporterskostma | FOTOREPORTERSKOST - [pravopis]
fotoreporterskostmi | FOTOREPORTERSKOST - [pravopis]
fragmentaričnostima | FRAGMENTARIČNOST
francoskogvajanskem | FRANCOSKOGVAJANSKI - [pravopis]
francoskogvajanskih | FRANCOSKOGVAJANSKI - [pravopis]
francoskogvajanskim | FRANCOSKOGVAJANSKI - [pravopis]
frekventacijskostih | FREKVENTACIJSKOST - [pravopis]
frekventacijskostim | FREKVENTACIJSKOST - [pravopis]
frekventacijskostjo | FREKVENTACIJSKOST - [pravopis]
frekventacijskostma | FREKVENTACIJSKOST - [pravopis]
frekventacijskostmi | FREKVENTACIJSKOST - [pravopis]
frekventativnostima | FREKVENTATIVNOST - [pravopis]
fundamentalističnem | FUNDAMENTALISTIČEN - > TALIB - pripadnik fundamentalističnega islamskega gibanja v Afganistanu
fundamentalističnih | FUNDAMENTALISTIČEN - > TALIB - pripadnik fundamentalističnega islamskega gibanja v Afganistanu
fundamentalističnim | FUNDAMENTALISTIČEN - > TALIB - pripadnik fundamentalističnega islamskega gibanja v Afganistanu
funkcijskozvrstnega | FUNKCIJSKOZVRSTEN - [pravopis]
funkcijskozvrstnemu | FUNKCIJSKOZVRSTEN - [pravopis]
funkcijskozvrstnima | FUNKCIJSKOZVRSTEN - [pravopis]
funkcijskozvrstnimi | FUNKCIJSKOZVRSTEN - [pravopis]
funkcijskozvrstnost | [pravopis]
funkcionalističnega | FUNKCIONALISTIČEN - [urb.] v zvezi »funkcionalistični urbanizem«: koncept mestnega načrtovanja po načelih CIAM-a in Atenske listine, ki deli mesto v skladu s temeljnimi človekovimi potrebami na območja, namenjena stanovanju, delu, rekreaciji in komunikaciji, ločuje prometne površine od stanovanjskih, skrbi za dobro prezračevanje in osončenje mestnih prostorov, povezuje šolske, športne in rekreacijske površine s stanovanji, z zelenimi pasovi ločuje industrijske površine od mesta
funkcionalističnemu | FUNKCIONALISTIČEN - [urb.] v zvezi »funkcionalistični urbanizem«: koncept mestnega načrtovanja po načelih CIAM-a in Atenske listine, ki deli mesto v skladu s temeljnimi človekovimi potrebami na območja, namenjena stanovanju, delu, rekreaciji in komunikaciji, ločuje prometne površine od stanovanjskih, skrbi za dobro prezračevanje in osončenje mestnih prostorov, povezuje šolske, športne in rekreacijske površine s stanovanji, z zelenimi pasovi ločuje industrijske površine od mesta
funkcionalističnima | FUNKCIONALISTIČEN - [urb.] v zvezi »funkcionalistični urbanizem«: koncept mestnega načrtovanja po načelih CIAM-a in Atenske listine, ki deli mesto v skladu s temeljnimi človekovimi potrebami na območja, namenjena stanovanju, delu, rekreaciji in komunikaciji, ločuje prometne površine od stanovanjskih, skrbi za dobro prezračevanje in osončenje mestnih prostorov, povezuje šolske, športne in rekreacijske površine s stanovanji, z zelenimi pasovi ločuje industrijske površine od mesta
funkcionalističnimi | FUNKCIONALISTIČEN - [urb.] v zvezi »funkcionalistični urbanizem«: koncept mestnega načrtovanja po načelih CIAM-a in Atenske listine, ki deli mesto v skladu s temeljnimi človekovimi potrebami na območja, namenjena stanovanju, delu, rekreaciji in komunikaciji, ločuje prometne površine od stanovanjskih, skrbi za dobro prezračevanje in osončenje mestnih prostorov, povezuje šolske, športne in rekreacijske površine s stanovanji, z zelenimi pasovi ločuje industrijske površine od mesta
galvanometalurgijah | GALVANOMETALURGIJA - [pravopis]
galvanometalurgijam | GALVANOMETALURGIJA - [pravopis]
galvanoplastičnosti | GALVANOPLASTIČNOST - [pravopis]
gamaaminobutanojska | GAMAAMINOBUTANOJSKI - [farm.] v zvezi »gamaaminobutanojska kislina«:
gamaaminobutanojske | GAMAAMINOBUTANOJSKI - [farm.] v zvezi »gamaaminobutanojska kislina«:
gamaaminobutanojski | [farm.] v zvezi »gamaaminobutanojska kislina«:
gamaaminobutanojsko | GAMAAMINOBUTANOJSKI - [farm.] v zvezi »gamaaminobutanojska kislina«:
gamakarboksilacijah | GAMAKARBOKSILACIJA - [farm.] posttranslacijska modifikacija, dodajanje karboksilne skupine na položaj γ v stranski verigi glutamatnih aminokislinskih ostankov, zlasti pri krvnih koagulacijskih faktorjih
gamakarboksilacijam | GAMAKARBOKSILACIJA - [farm.] posttranslacijska modifikacija, dodajanje karboksilne skupine na položaj γ v stranski verigi glutamatnih aminokislinskih ostankov, zlasti pri krvnih koagulacijskih faktorjih
gastarbajteričinega | GASTARBAJTERIČIN - [pravopis]
gastarbajteričinemu | GASTARBAJTERIČIN - [pravopis]
gastarbajteričinima | GASTARBAJTERIČIN - [pravopis]
gastarbajteričinimi | GASTARBAJTERIČIN - [pravopis]
gastroenterologijah | GASTROENTEROLOGIJA - veda o prebavnih organih in njihovih boleznih
gastroenterologijam | GASTROENTEROLOGIJA - veda o prebavnih organih in njihovih boleznih
gastroezofagealnega | GASTROEZOFAGEALNI - [esskj] 
gastroezofagealnemu | GASTROEZOFAGEALNI - [esskj] 
gastroezofagealnima | GASTROEZOFAGEALNI - [esskj] 
gastroezofagealnimi | GASTROEZOFAGEALNI - [esskj] 
gastrointestinalnem | GASTROINTESTINALEN - [farm.] v zvezi »gastrointestinalna uporaba«: aplikacija zdravila s sondo v želodec in tanko črevo
gastrointestinalnih | GASTROINTESTINALEN - [farm.] v zvezi »gastrointestinalna uporaba«: aplikacija zdravila s sondo v želodec in tanko črevo
gastrointestinalnim | GASTROINTESTINALEN - [farm.] v zvezi »gastrointestinalna uporaba«: aplikacija zdravila s sondo v želodec in tanko črevo
gastrorezistentnega | GASTROREZISTENTEN - [farm.] v zvezi »gastrorezistentna kapsula«: kapsula z zakasnelim sproščanjem, odporna proti želodčnemu soku
gastrorezistentnemu | GASTROREZISTENTEN - [farm.] v zvezi »gastrorezistentna kapsula«: kapsula z zakasnelim sproščanjem, odporna proti želodčnemu soku
gastrorezistentnima | GASTROREZISTENTEN - [farm.] v zvezi »gastrorezistentna kapsula«: kapsula z zakasnelim sproščanjem, odporna proti želodčnemu soku
gastrorezistentnimi | GASTROREZISTENTEN - [farm.] v zvezi »gastrorezistentna kapsula«: kapsula z zakasnelim sproščanjem, odporna proti želodčnemu soku
generaliziranostima | GENERALIZIRANOST - [pravopis]
generalpodpolkovnic | GENERALPODPOLKOVNICA - [pravopis]
generalpodpolkovnik | čin, za stopnjo višji od generalmajorja, ali nosilec tega čina
generalpolkovnicama | GENERALPOLKOVNICA - [epravopis] vojaški naziv
generalpolkovnicami | GENERALPOLKOVNICA - [epravopis] vojaški naziv
generalpolkovničina | GENERALPOLKOVNIČIN - [epravopis] 
generalpolkovničine | GENERALPOLKOVNIČIN - [epravopis] 
generalpolkovničini | GENERALPOLKOVNIČIN - [epravopis] 
generalpolkovničino | GENERALPOLKOVNIČIN - [epravopis] 
generalpolkovnikoma | GENERALPOLKOVNIK - čin, za stopnjo višji od generalpodpolkovnika, ali nosilec tega čina
generalporočničinem | GENERALPOROČNIČIN - [pravopis]
generalporočničinih | GENERALPOROČNIČIN - [pravopis]
generalporočničinim | GENERALPOROČNIČIN - [pravopis]
generalštabovčevega | GENERALŠTABOVČEV - [pravopis]
generalštabovčevemu | GENERALŠTABOVČEV - [pravopis]
generalštabovčevima | GENERALŠTABOVČEV - [pravopis]
generalštabovčevimi | GENERALŠTABOVČEV - [pravopis]
geomehanikaričinega | GEOMEHANIKARIČIN - [pravopis]
geomehanikaričinemu | GEOMEHANIKARIČIN - [pravopis]
geomehanikaričinima | GEOMEHANIKARIČIN - [pravopis]
geomehanikaričinimi | GEOMEHANIKARIČIN - [pravopis]
geometriziranostima | GEOMETRIZIRANOST - [pravopis]
geomorfokronologija | [geog.] del geomorfologije, ki proučuje starost reliefnih oblik
geomorfokronologije | GEOMORFOKRONOLOGIJA - [geog.] del geomorfologije, ki proučuje starost reliefnih oblik
geomorfokronologiji | GEOMORFOKRONOLOGIJA - [geog.] del geomorfologije, ki proučuje starost reliefnih oblik
geomorfokronologijo | GEOMORFOKRONOLOGIJA - [geog.] del geomorfologije, ki proučuje starost reliefnih oblik
gestaltpsihologijah | GESTALTPSIHOLOGIJA - [pravopis]
gestaltpsihologijam | GESTALTPSIHOLOGIJA - [pravopis]
geštaltpsihologijah | GEŠTALTPSIHOLOGIJA - [pravopis]
geštaltpsihologijam | GEŠTALTPSIHOLOGIJA - [pravopis]
gigaelektronvoltoma | GIGAELEKTRONVOLT - [pravopis]
ginomonoecičnostima | GINOMONOECIČNOST - [bot.] enodomnost, pri kateri ima lahko osebek v populaciji dvospolne cvetove in ženske cvetove, npr. pri nekaterih vrstah ustnatic (Lamiaceae), nebinovk (Asteraceae)
glacioakumulacijska | GLACIOAKUMULACIJSKI - [geog.] v zvezi »glacioakumulacijska oblika«: reliefna oblika, nastala z ledeniško akumulacijo
glacioakumulacijske | GLACIOAKUMULACIJSKI - [geog.] v zvezi »glacioakumulacijska oblika«: reliefna oblika, nastala z ledeniško akumulacijo
glacioakumulacijski | [geog.] v zvezi »glacioakumulacijska oblika«: reliefna oblika, nastala z ledeniško akumulacijo
glacioakumulacijsko | GLACIOAKUMULACIJSKI - [geog.] v zvezi »glacioakumulacijska oblika«: reliefna oblika, nastala z ledeniško akumulacijo
glaciolakustričnega | GLACIOLAKUSTRIČEN - [geog.] v zvezi »glaciolakustrični sediment«: sediment na dnu ledeniškega jezera
glaciolakustričnemu | GLACIOLAKUSTRIČEN - [geog.] v zvezi »glaciolakustrični sediment«: sediment na dnu ledeniškega jezera
glaciolakustričnima | GLACIOLAKUSTRIČEN - [geog.] v zvezi »glaciolakustrični sediment«: sediment na dnu ledeniškega jezera
glaciolakustričnimi | GLACIOLAKUSTRIČEN - [geog.] v zvezi »glaciolakustrični sediment«: sediment na dnu ledeniškega jezera
glasbenonarodopisen | [pravopis]
glasbenonarodopisna | GLASBENONARODOPISEN - [pravopis]
glasbenonarodopisne | GLASBENONARODOPISEN - [pravopis]
glasbenonarodopisni | GLASBENONARODOPISEN - [pravopis]
glasbenonarodopisno | GLASBENONARODOPISEN - [pravopis]
glasbenopedagoškega | GLASBENOPEDAGOŠKI - nanašajoč se na glasbeno vzgojo
glasbenopedagoškemu | GLASBENOPEDAGOŠKI - nanašajoč se na glasbeno vzgojo
glasbenopedagoškima | GLASBENOPEDAGOŠKI - nanašajoč se na glasbeno vzgojo
glasbenopedagoškimi | GLASBENOPEDAGOŠKI - nanašajoč se na glasbeno vzgojo
glasbenoprosvetnega | GLASBENOPROSVETEN
glasbenoprosvetnemu | GLASBENOPROSVETEN
glasbenoprosvetnima | GLASBENOPROSVETEN
glasbenoprosvetnimi | GLASBENOPROSVETEN
glasbenoumetniškega | GLASBENOUMETNIŠKI - [epravopis] nanašajoč se na glasbeno umetnost
glasbenoumetniškemu | GLASBENOUMETNIŠKI - [epravopis] nanašajoč se na glasbeno umetnost
glasbenoumetniškima | GLASBENOUMETNIŠKI - [epravopis] nanašajoč se na glasbeno umetnost
glasbenoumetniškimi | GLASBENOUMETNIŠKI - [epravopis] nanašajoč se na glasbeno umetnost
glasbenozaložniškem | GLASBENOZALOŽNIŠKI - [epravopis] nanašajoč se na glasbeno založništvo
glasbenozaložniških | GLASBENOZALOŽNIŠKI - [epravopis] nanašajoč se na glasbeno založništvo
glasbenozaložniškim | GLASBENOZALOŽNIŠKI - [epravopis] nanašajoč se na glasbeno založništvo
glasbenozgodovinska | GLASBENOZGODOVINSKI - nanašajoč se na glasbeno zgodovino
glasbenozgodovinske | GLASBENOZGODOVINSKI - nanašajoč se na glasbeno zgodovino
glasbenozgodovinski | nanašajoč se na glasbeno zgodovino
glasbenozgodovinsko | GLASBENOZGODOVINSKI - nanašajoč se na glasbeno zgodovino
glikozaminoglikanih | GLIKOZAMINOGLIKAN - [farm.] dolg, nerazvejen polisaharid, ki ga sestavljajo ponavljajoče se disaharidne enote iz heksoze in njenega amino derivata, npr. heparin, hialuronan, hondroitin
glikozaminoglikanom | GLIKOZAMINOGLIKAN - [farm.] dolg, nerazvejen polisaharid, ki ga sestavljajo ponavljajoče se disaharidne enote iz heksoze in njenega amino derivata, npr. heparin, hialuronan, hondroitin
glikozaminoglikanov | GLIKOZAMINOGLIKAN - [farm.] dolg, nerazvejen polisaharid, ki ga sestavljajo ponavljajoče se disaharidne enote iz heksoze in njenega amino derivata, npr. heparin, hialuronan, hondroitin
globinskopsihološka | GLOBINSKOPSIHOLOŠKI - [pravopis]
globinskopsihološke | GLOBINSKOPSIHOLOŠKI - [pravopis]
globinskopsihološki | [pravopis]
globinskopsihološko | GLOBINSKOPSIHOLOŠKI - [pravopis]
globokomiselnostima | GLOBOKOMISELNOST - lastnost globokomiselnega človeka
glukozotolerančnega | GLUKOZOTOLERANČEN - [farm.] v zvezi »oralni glukozotolerančni test«: standardizirani postopek peroralnega zaužitja 75 ali 100 g glukoze in merjenja njene koncentracije v serumu, ki se izvaja za ugotavljanje sladkorne bolezni ali motene tolerance na glukozo
glukozotolerančnemu | GLUKOZOTOLERANČEN - [farm.] v zvezi »oralni glukozotolerančni test«: standardizirani postopek peroralnega zaužitja 75 ali 100 g glukoze in merjenja njene koncentracije v serumu, ki se izvaja za ugotavljanje sladkorne bolezni ali motene tolerance na glukozo
glukozotolerančnima | GLUKOZOTOLERANČEN - [farm.] v zvezi »oralni glukozotolerančni test«: standardizirani postopek peroralnega zaužitja 75 ali 100 g glukoze in merjenja njene koncentracije v serumu, ki se izvaja za ugotavljanje sladkorne bolezni ali motene tolerance na glukozo
glukozotolerančnimi | GLUKOZOTOLERANČEN - [farm.] v zvezi »oralni glukozotolerančni test«: standardizirani postopek peroralnega zaužitja 75 ali 100 g glukoze in merjenja njene koncentracije v serumu, ki se izvaja za ugotavljanje sladkorne bolezni ali motene tolerance na glukozo
glutamiltransferaza | [farm.] v zvezi »gama glutamiltransferaza«: predstavnik skupine encimov, ki katalizirajo prenos končnega γ-glutamata od glutationa in drugih polipeptidov na nove aminokisline ali polipeptide
