anarhoindividualističen | ki se nagiba k anarhiji in poudarja vlogo posameznika
nacionalnogospodarskimi | NACIONALNOGOSPODARSKI - [epravopis] nanašajoč se na nacionalno gospodarstvo
nacionalsocialističnega | NACIONALSOCIALISTIČEN - nanašajoč se na nacionalsocialiste ali nacionalsocializem
nacionalsocialističnemu | NACIONALSOCIALISTIČEN - nanašajoč se na nacionalsocialiste ali nacionalsocializem
nacionalsocialističnima | NACIONALSOCIALISTIČEN - nanašajoč se na nacionalsocialiste ali nacionalsocializem
nacionalsocialističnimi | NACIONALSOCIALISTIČEN - nanašajoč se na nacionalsocialiste ali nacionalsocializem
najkarakterističnejšega | KARAKTERISTIČEN - ki osebo, stvar, pojav pomembno opredeljuje, določa
najkarakterističnejšemu | KARAKTERISTIČEN - ki osebo, stvar, pojav pomembno opredeljuje, določa
najkarakterističnejšima | KARAKTERISTIČEN - ki osebo, stvar, pojav pomembno opredeljuje, določa
najkarakterističnejšimi | KARAKTERISTIČEN - ki osebo, stvar, pojav pomembno opredeljuje, določa
najreprezentativnejšega | REPREZENTATIVEN - ki v najvišji meri posreduje lastnosti, značilnosti koga, česa
najreprezentativnejšemu | REPREZENTATIVEN - ki v najvišji meri posreduje lastnosti, značilnosti koga, česa
najreprezentativnejšima | REPREZENTATIVEN - ki v najvišji meri posreduje lastnosti, značilnosti koga, česa
najreprezentativnejšimi | REPREZENTATIVEN - ki v najvišji meri posreduje lastnosti, značilnosti koga, česa
narodnoosvobodilnostima | NARODNOOSVOBODILNOST - [pravopis]
narodnostnomanjšinskega | NARODNOSTNOMANJŠINSKI - [epravopis] nanašajoč se na narodnostno manjšino
narodnostnomanjšinskemu | NARODNOSTNOMANJŠINSKI - [epravopis] nanašajoč se na narodnostno manjšino
narodnostnomanjšinskima | NARODNOSTNOMANJŠINSKI - [epravopis] nanašajoč se na narodnostno manjšino
narodnostnomanjšinskimi | NARODNOSTNOMANJŠINSKI - [epravopis] nanašajoč se na narodnostno manjšino
neokolonialističnostima | NEOKOLONIALISTIČNOST - [pravopis]
ortokronostratigrafijah | ORTOKRONOSTRATIGRAFIJA - [geol.] geokronologija plasti, ki jo določajo ortokronostratigrafski fosili
ortokronostratigrafijam | ORTOKRONOSTRATIGRAFIJA - [geol.] geokronologija plasti, ki jo določajo ortokronostratigrafski fosili
ortokronostratigrafskem | ORTOKRONOSTRATIGRAFSKI - [geol.] v zvezi »ortokronostratigrafski fosil«: fosil, po katerem je narejen osnovni geokronološki sistem, npr. amonit za mezozoik
ortokronostratigrafskih | ORTOKRONOSTRATIGRAFSKI - [geol.] v zvezi »ortokronostratigrafski fosil«: fosil, po katerem je narejen osnovni geokronološki sistem, npr. amonit za mezozoik
ortokronostratigrafskim | ORTOKRONOSTRATIGRAFSKI - [geol.] v zvezi »ortokronostratigrafski fosil«: fosil, po katerem je narejen osnovni geokronološki sistem, npr. amonit za mezozoik
otorinolaringologinjama | OTORINOLARINGOLOGINJA - [pravopis]
otorinolaringologinjami | OTORINOLARINGOLOGINJA - [pravopis]
parahidroksibenzojskega | PARAHIDROKSIBENZOJSKI - [farm.] v zvezi »estri parahidroksibenzojske kisline«: konzervansi z izrazitim protibakterijskim in protiglivičnim delovanjem, ki motijo transport snovi skozi biološke membrane, verjetno tudi biosintezo nukleinskih kislin, in v nizkih koncentracijah delujejo kot hormonski motilci, pogosti v farmacevtskih in kozmetičnih izdelkih
parahidroksibenzojskemu | PARAHIDROKSIBENZOJSKI - [farm.] v zvezi »estri parahidroksibenzojske kisline«: konzervansi z izrazitim protibakterijskim in protiglivičnim delovanjem, ki motijo transport snovi skozi biološke membrane, verjetno tudi biosintezo nukleinskih kislin, in v nizkih koncentracijah delujejo kot hormonski motilci, pogosti v farmacevtskih in kozmetičnih izdelkih
parahidroksibenzojskima | PARAHIDROKSIBENZOJSKI - [farm.] v zvezi »estri parahidroksibenzojske kisline«: konzervansi z izrazitim protibakterijskim in protiglivičnim delovanjem, ki motijo transport snovi skozi biološke membrane, verjetno tudi biosintezo nukleinskih kislin, in v nizkih koncentracijah delujejo kot hormonski motilci, pogosti v farmacevtskih in kozmetičnih izdelkih
parahidroksibenzojskimi | PARAHIDROKSIBENZOJSKI - [farm.] v zvezi »estri parahidroksibenzojske kisline«: konzervansi z izrazitim protibakterijskim in protiglivičnim delovanjem, ki motijo transport snovi skozi biološke membrane, verjetno tudi biosintezo nukleinskih kislin, in v nizkih koncentracijah delujejo kot hormonski motilci, pogosti v farmacevtskih in kozmetičnih izdelkih
pentagondodekaedričnega | PENTAGONDODEKAEDRIČEN - [geol.] v zvezi »pentagondodekaedrična vrsta simetrije«: vrsta simetrije, ki ima tri dvoštevne in štiri trištevne osi simetrije in tri ravnine simetrije
pentagondodekaedričnemu | PENTAGONDODEKAEDRIČEN - [geol.] v zvezi »pentagondodekaedrična vrsta simetrije«: vrsta simetrije, ki ima tri dvoštevne in štiri trištevne osi simetrije in tri ravnine simetrije
pentagondodekaedričnima | PENTAGONDODEKAEDRIČEN - [geol.] v zvezi »pentagondodekaedrična vrsta simetrije«: vrsta simetrije, ki ima tri dvoštevne in štiri trištevne osi simetrije in tri ravnine simetrije
pentagondodekaedričnimi | PENTAGONDODEKAEDRIČEN - [geol.] v zvezi »pentagondodekaedrična vrsta simetrije«: vrsta simetrije, ki ima tri dvoštevne in štiri trištevne osi simetrije in tri ravnine simetrije
pentagontrioktaedričnem | PENTAGONTRIOKTAEDRIČEN - [gem.] v zvezi »pentagontrioktaedrični razred«: simetrijski razred kubičnega sistema s štirimi troštevnimi osmi, usmerjenimi po telesnih diagonalah kocke, tremi štirištevnimi osmi, ki sovpadajo s kristalografskimi osmi, in šestimi dvoštevnimi osmi
pentagontrioktaedričnih | PENTAGONTRIOKTAEDRIČEN - [gem.] v zvezi »pentagontrioktaedrični razred«: simetrijski razred kubičnega sistema s štirimi troštevnimi osmi, usmerjenimi po telesnih diagonalah kocke, tremi štirištevnimi osmi, ki sovpadajo s kristalografskimi osmi, in šestimi dvoštevnimi osmi
pentagontrioktaedričnim | PENTAGONTRIOKTAEDRIČEN - [gem.] v zvezi »pentagontrioktaedrični razred«: simetrijski razred kubičnega sistema s štirimi troštevnimi osmi, usmerjenimi po telesnih diagonalah kocke, tremi štirištevnimi osmi, ki sovpadajo s kristalografskimi osmi, in šestimi dvoštevnimi osmi
pentagontritetraedričen | [gem.] v zvezi »pentagontritetraedrični razred«: simetrijski razred kubičnega sistema s štirimi troštevnimi osmi, usmerjenimi po telesnih diagonalah kocke, in tremi dvoštevnimi osmi, ki sovpadajo s kristalografskimi osmi
pentagontritetraedrična | PENTAGONTRITETRAEDRIČEN - [gem.] v zvezi »pentagontritetraedrični razred«: simetrijski razred kubičnega sistema s štirimi troštevnimi osmi, usmerjenimi po telesnih diagonalah kocke, in tremi dvoštevnimi osmi, ki sovpadajo s kristalografskimi osmi
pentagontritetraedrične | PENTAGONTRITETRAEDRIČEN - [gem.] v zvezi »pentagontritetraedrični razred«: simetrijski razred kubičnega sistema s štirimi troštevnimi osmi, usmerjenimi po telesnih diagonalah kocke, in tremi dvoštevnimi osmi, ki sovpadajo s kristalografskimi osmi
pentagontritetraedrični | PENTAGONTRITETRAEDRIČEN - [gem.] v zvezi »pentagontritetraedrični razred«: simetrijski razred kubičnega sistema s štirimi troštevnimi osmi, usmerjenimi po telesnih diagonalah kocke, in tremi dvoštevnimi osmi, ki sovpadajo s kristalografskimi osmi
pentagontritetraedrično | PENTAGONTRITETRAEDRIČEN - [gem.] v zvezi »pentagontritetraedrični razred«: simetrijski razred kubičnega sistema s štirimi troštevnimi osmi, usmerjenimi po telesnih diagonalah kocke, in tremi dvoštevnimi osmi, ki sovpadajo s kristalografskimi osmi
petindvajsetletničinega | PETINDVAJSETLETNIČIN - [pravopis]
petindvajsetletničinemu | PETINDVAJSETLETNIČIN - [pravopis]
petindvajsetletničinima | PETINDVAJSETLETNIČIN - [pravopis]
petindvajsetletničinimi | PETINDVAJSETLETNIČIN - [pravopis]
petinsedemdesetletnicah | PETINSEDEMDESETLETNICA - petinsedemdeseta obletnica
petinsedemdesetletnicam | PETINSEDEMDESETLETNICA - petinsedemdeseta obletnica
petinsedemdesetletničin | [pravopis]
petinsedemdesetletnikih | PETINSEDEMDESETLETNIK - [pravopis]
petinsedemdesetletnikom | PETINSEDEMDESETLETNIK - [pravopis]
petinsedemdesetletnikov | PETINSEDEMDESETLETNIK - [pravopis]
poimpresionističnostima | POIMPRESIONISTIČNOST - [pravopis]
političnoorganizacijska | POLITIČNOORGANIZACIJSKI - [pravopis]
političnoorganizacijske | POLITIČNOORGANIZACIJSKI - [pravopis]
političnoorganizacijski | [pravopis]
političnoorganizacijsko | POLITIČNOORGANIZACIJSKI - [pravopis]
političnopublicističnem | POLITIČNOPUBLICISTIČEN - [pravopis]
političnopublicističnih | POLITIČNOPUBLICISTIČEN - [pravopis]
političnopublicističnim | POLITIČNOPUBLICISTIČEN - [pravopis]
političnoteritorialnega | POLITIČNOTERITORIALEN - nanašajoč se na političnoupravno delitev državnega ozemlja
političnoteritorialnemu | POLITIČNOTERITORIALEN - nanašajoč se na političnoupravno delitev državnega ozemlja
političnoteritorialnima | POLITIČNOTERITORIALEN - nanašajoč se na političnoupravno delitev državnega ozemlja
političnoteritorialnimi | POLITIČNOTERITORIALEN - nanašajoč se na političnoupravno delitev državnega ozemlja
poslovnoinformacijskega | POSLOVNOINFORMACIJSKI - [epravopis] nanašajoč se na poslovne informacije
poslovnoinformacijskemu | POSLOVNOINFORMACIJSKI - [epravopis] nanašajoč se na poslovne informacije
poslovnoinformacijskima | POSLOVNOINFORMACIJSKI - [epravopis] nanašajoč se na poslovne informacije
poslovnoinformacijskimi | POSLOVNOINFORMACIJSKI - [epravopis] nanašajoč se na poslovne informacije
praktičnosporazumevalen | ki je za praktično sporazumevanje
praktičnosporazumevalna | PRAKTIČNOSPORAZUMEVALEN - ki je za praktično sporazumevanje
praktičnosporazumevalne | PRAKTIČNOSPORAZUMEVALEN - ki je za praktično sporazumevanje
praktičnosporazumevalni | PRAKTIČNOSPORAZUMEVALEN - ki je za praktično sporazumevanje
praktičnosporazumevalno | PRAKTIČNOSPORAZUMEVALEN - ki je za praktično sporazumevanje
primerjalnozgodovinskem | PRIMERJALNOZGODOVINSKI - nanašajoč se na primerjalno zgodovino
primerjalnozgodovinskih | PRIMERJALNOZGODOVINSKI - nanašajoč se na primerjalno zgodovino
primerjalnozgodovinskim | PRIMERJALNOZGODOVINSKI - nanašajoč se na primerjalno zgodovino
privatnokapitalističnem | PRIVATNOKAPITALISTIČEN - nanašajoč se na privatni kapital
privatnokapitalističnih | PRIVATNOKAPITALISTIČEN - nanašajoč se na privatni kapital
privatnokapitalističnim | PRIVATNOKAPITALISTIČEN - nanašajoč se na privatni kapital
profesionaliziranostima | PROFESIONALIZIRANOST - [pravopis]
prometnoinformacijskega | PROMETNOINFORMACIJSKI - [epravopis] nanašajoč se na prometne informacije
prometnoinformacijskemu | PROMETNOINFORMACIJSKI - [epravopis] nanašajoč se na prometne informacije
prometnoinformacijskima | PROMETNOINFORMACIJSKI - [epravopis] nanašajoč se na prometne informacije
prometnoinformacijskimi | PROMETNOINFORMACIJSKI - [epravopis] nanašajoč se na prometne informacije
prostorskoinformacijska | PROSTORSKOINFORMACIJSKI - nanašajoč se na informacije o prostoru
prostorskoinformacijske | PROSTORSKOINFORMACIJSKI - nanašajoč se na informacije o prostoru
prostorskoinformacijski | nanašajoč se na informacije o prostoru
prostorskoinformacijsko | PROSTORSKOINFORMACIJSKI - nanašajoč se na informacije o prostoru
protiabsolutističnostih | PROTIABSOLUTISTIČNOST - [pravopis]
protiabsolutističnostim | PROTIABSOLUTISTIČNOST - [pravopis]
protiabsolutističnostjo | PROTIABSOLUTISTIČNOST - [pravopis]
protiabsolutističnostma | PROTIABSOLUTISTIČNOST - [pravopis]
protiabsolutističnostmi | PROTIABSOLUTISTIČNOST - [pravopis]
protiimperialističnosti | PROTIIMPERIALISTIČNOST - [pravopis]
protijanzenističnostima | PROTIJANZENISTIČNOST - [pravopis]
protijugoslovanskostima | PROTIJUGOSLOVANSKOST - [pravopis]
protikapitalističnostih | PROTIKAPITALISTIČNOST - [pravopis]
protikapitalističnostim | PROTIKAPITALISTIČNOST - [pravopis]
protikapitalističnostjo | PROTIKAPITALISTIČNOST - [pravopis]
protikapitalističnostma | PROTIKAPITALISTIČNOST - [pravopis]
protikapitalističnostmi | PROTIKAPITALISTIČNOST - [pravopis]
protimaterialističnosti | PROTIMATERIALISTIČNOST - [pravopis]
protimilitarističnostih | PROTIMILITARISTIČNOST - [pravopis]
protimilitarističnostim | PROTIMILITARISTIČNOST - [pravopis]
protimilitarističnostjo | PROTIMILITARISTIČNOST - [pravopis]
protimilitarističnostma | PROTIMILITARISTIČNOST - [pravopis]
protimilitarističnostmi | PROTIMILITARISTIČNOST - [pravopis]
protimonarhističnostima | PROTIMONARHISTIČNOST - [pravopis]
protireformacijskostima | PROTIREFORMACIJSKOST - [pravopis]
protirevolucionarnostih | PROTIREVOLUCIONARNOST - [pravopis]
protirevolucionarnostim | PROTIREVOLUCIONARNOST - [pravopis]
protirevolucionarnostjo | PROTIREVOLUCIONARNOST - [pravopis]
protirevolucionarnostma | PROTIREVOLUCIONARNOST - [pravopis]
protirevolucionarnostmi | PROTIREVOLUCIONARNOST - [pravopis]
protisocialističnostima | PROTISOCIALISTIČNOST - [pravopis]
psevdomarksističnostima | PSEVDOMARKSISTIČNOST - [pravopis]
psevdorevolucionarnosti | PSEVDOREVOLUCIONARNOST - [pravopis]
samodiscipliniranostima | SAMODISCIPLINIRANOST - [pravopis]
samomikroemulgirajočega | SAMOMIKROEMULGIRAJOČ - [farm.] v zvezi »samomikroemulgirajoči sistem«: zmes lipidov, površinsko aktivnih snovi in učinkovine, ki v stiku z vodnim medijem ob rahlem mešanju hitro in spontano tvori mikroemulzijo olje v vodi
samomikroemulgirajočemu | SAMOMIKROEMULGIRAJOČ - [farm.] v zvezi »samomikroemulgirajoči sistem«: zmes lipidov, površinsko aktivnih snovi in učinkovine, ki v stiku z vodnim medijem ob rahlem mešanju hitro in spontano tvori mikroemulzijo olje v vodi
samomikroemulgirajočima | SAMOMIKROEMULGIRAJOČ - [farm.] v zvezi »samomikroemulgirajoči sistem«: zmes lipidov, površinsko aktivnih snovi in učinkovine, ki v stiku z vodnim medijem ob rahlem mešanju hitro in spontano tvori mikroemulzijo olje v vodi
samomikroemulgirajočimi | SAMOMIKROEMULGIRAJOČ - [farm.] v zvezi »samomikroemulgirajoči sistem«: zmes lipidov, površinsko aktivnih snovi in učinkovine, ki v stiku z vodnim medijem ob rahlem mešanju hitro in spontano tvori mikroemulzijo olje v vodi
senzacionalističnostima | SENZACIONALISTIČNOST - [pravopis]
sinhrotransformatorjema | SINHROTRANSFORMATOR - [avt.] trifazni motor, uporaben kot merilnik zasuka, pri katerem merjenec premika rotor, napajan z izmenično napetostjo, kar v navitjih statorjev inducira napetosti, iz katerih je mogoče določiti zasuk, pri čemer se povezava v par ali verigo uporablja za prenos kota ali signala na daljavo
skonvencionaliziranosti | SKONVENCIONALIZIRANOST - [pravopis]
slovstvenozgodovinskega | SLOVSTVENOZGODOVINSKI
slovstvenozgodovinskemu | SLOVSTVENOZGODOVINSKI
slovstvenozgodovinskima | SLOVSTVENOZGODOVINSKI
slovstvenozgodovinskimi | SLOVSTVENOZGODOVINSKI
socialnorevolucionarnem | SOCIALNOREVOLUCIONAREN - revolucionaren v povezavi s čim socialnim
socialnorevolucionarnih | SOCIALNOREVOLUCIONAREN - revolucionaren v povezavi s čim socialnim
socialnorevolucionarnim | SOCIALNOREVOLUCIONAREN - revolucionaren v povezavi s čim socialnim
splošnocivilizacijskega | SPLOŠNOCIVILIZACIJSKI - [pravopis]
splošnocivilizacijskemu | SPLOŠNOCIVILIZACIJSKI - [pravopis]
splošnocivilizacijskima | SPLOŠNOCIVILIZACIJSKI - [pravopis]
splošnocivilizacijskimi | SPLOŠNOCIVILIZACIJSKI - [pravopis]
spodnjejakobskodolskega | SPODNJEJAKOBSKODOLSKI - [pravopis]
spodnjejakobskodolskemu | SPODNJEJAKOBSKODOLSKI - [pravopis]
spodnjejakobskodolskima | SPODNJEJAKOBSKODOLSKI - [pravopis]
spodnjejakobskodolskimi | SPODNJEJAKOBSKODOLSKI - [pravopis]
sprofesionaliziranostih | SPROFESIONALIZIRANOST - [pravopis]
sprofesionaliziranostim | SPROFESIONALIZIRANOST - [pravopis]
sprofesionaliziranostjo | SPROFESIONALIZIRANOST - [pravopis]
sprofesionaliziranostma | SPROFESIONALIZIRANOST - [pravopis]
sprofesionaliziranostmi | SPROFESIONALIZIRANOST - [pravopis]
starejšepleistocenskega | STAREJŠEPLEISTOCENSKI - > GUNŠKI - [geog.] v zvezi »günška poledenitev«: starejšepleistocenska poledenitev v Alpah, med okrog 500.000 in 350.000 leti pred sedanjostjo, primerljiva z elstrsko poledenitvijo na severu Evrope in s kansaško poledenitvijo v Severni Ameriki
starejšepleistocenskemu | STAREJŠEPLEISTOCENSKI - > GUNŠKI - [geog.] v zvezi »günška poledenitev«: starejšepleistocenska poledenitev v Alpah, med okrog 500.000 in 350.000 leti pred sedanjostjo, primerljiva z elstrsko poledenitvijo na severu Evrope in s kansaško poledenitvijo v Severni Ameriki
starejšepleistocenskima | STAREJŠEPLEISTOCENSKI - > GUNŠKI - [geog.] v zvezi »günška poledenitev«: starejšepleistocenska poledenitev v Alpah, med okrog 500.000 in 350.000 leti pred sedanjostjo, primerljiva z elstrsko poledenitvijo na severu Evrope in s kansaško poledenitvijo v Severni Ameriki
starejšepleistocenskimi | STAREJŠEPLEISTOCENSKI - > GUNŠKI - [geog.] v zvezi »günška poledenitev«: starejšepleistocenska poledenitev v Alpah, med okrog 500.000 in 350.000 leti pred sedanjostjo, primerljiva z elstrsko poledenitvijo na severu Evrope in s kansaško poledenitvijo v Severni Ameriki
starocerkvenoslovanskem | STAROCERKVENOSLOVANSKI - nanašajoč se na staro cerkveno slovanščino
starocerkvenoslovanskih | STAROCERKVENOSLOVANSKI - nanašajoč se na staro cerkveno slovanščino
starocerkvenoslovanskim | STAROCERKVENOSLOVANSKI - nanašajoč se na staro cerkveno slovanščino
starocerkvenoslovanščin | STAROCERKVENOSLOVANŠČINA - stara cerkvena slovanščina
tetrahidropirimidinskem | TETRAHIDROPIRIMIDINSKI - [farm.] v zvezi »tetrahidropirimidinski derivat«: anthelmintik, ki vsebuje tetrahidropirimidinski obroč in povzroči paralizo parazitov v prebavnem traktu, da se lažje izločijo iz organizma, npr. pirantel
tetrahidropirimidinskih | TETRAHIDROPIRIMIDINSKI - [farm.] v zvezi »tetrahidropirimidinski derivat«: anthelmintik, ki vsebuje tetrahidropirimidinski obroč in povzroči paralizo parazitov v prebavnem traktu, da se lažje izločijo iz organizma, npr. pirantel
tetrahidropirimidinskim | TETRAHIDROPIRIMIDINSKI - [farm.] v zvezi »tetrahidropirimidinski derivat«: anthelmintik, ki vsebuje tetrahidropirimidinski obroč in povzroči paralizo parazitov v prebavnem traktu, da se lažje izločijo iz organizma, npr. pirantel
tradicionalističnostima | TRADICIONALISTIČNOST - [pravopis]
transdisciplinarnostima | TRANSDISCIPLINARNOST - lastnost transdisciplinarnega
turističnoinformacijska | TURISTIČNOINFORMACIJSKI - nanašajoč se na turistične informacije
turističnoinformacijske | TURISTIČNOINFORMACIJSKI - nanašajoč se na turistične informacije
turističnoinformacijski | nanašajoč se na turistične informacije
turističnoinformacijsko | TURISTIČNOINFORMACIJSKI - nanašajoč se na turistične informacije
turističnopropagandnega | TURISTIČNOPROPAGANDEN - nanašajoč se na turistično propagando
turističnopropagandnemu | TURISTIČNOPROPAGANDEN - nanašajoč se na turistično propagando
turističnopropagandnima | TURISTIČNOPROPAGANDEN - nanašajoč se na turistično propagando
turističnopropagandnimi | TURISTIČNOPROPAGANDEN - nanašajoč se na turistično propagando
umetnostnoterapevtskega | UMETNOSTNOTERAPEVTSKI - [pravopis]
umetnostnoterapevtskemu | UMETNOSTNOTERAPEVTSKI - [pravopis]
umetnostnoterapevtskima | UMETNOSTNOTERAPEVTSKI - [pravopis]
umetnostnoterapevtskimi | UMETNOSTNOTERAPEVTSKI - [pravopis]
umetnostnozgodovinskega | UMETNOSTNOZGODOVINSKI - nanašajoč se na umetnostno zgodovino
umetnostnozgodovinskemu | UMETNOSTNOZGODOVINSKI - nanašajoč se na umetnostno zgodovino
umetnostnozgodovinskima | UMETNOSTNOZGODOVINSKI - nanašajoč se na umetnostno zgodovino
umetnostnozgodovinskimi | UMETNOSTNOZGODOVINSKI - nanašajoč se na umetnostno zgodovino
upravnoorganizacijskega | UPRAVNOORGANIZACIJSKI - [pravopis]
upravnoorganizacijskemu | UPRAVNOORGANIZACIJSKI - [pravopis]
upravnoorganizacijskima | UPRAVNOORGANIZACIJSKI - [pravopis]
upravnoorganizacijskimi | UPRAVNOORGANIZACIJSKI - [pravopis]
varnostnoinformativnega | VARNOSTNOINFORMATIVEN - [pravopis]
varnostnoinformativnemu | VARNOSTNOINFORMATIVEN - [pravopis]
varnostnoinformativnima | VARNOSTNOINFORMATIVEN - [pravopis]
varnostnoinformativnimi | VARNOSTNOINFORMATIVEN - [pravopis]
varnostnoobveščevalnega | VARNOSTNOOBVEŠČEVALEN - [pravopis]
varnostnoobveščevalnemu | VARNOSTNOOBVEŠČEVALEN - [pravopis]
varnostnoobveščevalnima | VARNOSTNOOBVEŠČEVALEN - [pravopis]
varnostnoobveščevalnimi | VARNOSTNOOBVEŠČEVALEN - [pravopis]
visokokvalificiranostih | VISOKOKVALIFICIRANOST - [pravopis]
visokokvalificiranostim | VISOKOKVALIFICIRANOST - [pravopis]
visokokvalificiranostjo | VISOKOKVALIFICIRANOST - [pravopis]
visokokvalificiranostma | VISOKOKVALIFICIRANOST - [pravopis]
visokokvalificiranostmi | VISOKOKVALIFICIRANOST - [pravopis]
