acilfloroglucinoloma | ACILFLOROGLUCINOL - [farm.]
farmakoinformativnim | FARMAKOINFORMATIVEN - [farm.] v zvezi »farmakoinformativna služba«: služba v lekarni, ki zbira in posreduje nepristranske informacije o zdravilih / služba v farmacevtski industriji, ki skrbi za informacije o zdravilih, ki jih izdeluje
farmakoinformatorjem | FARMAKOINFORMATOR - [farm.] magister farmacije, zdravnik, veterinar ali druga ustrezno usposobljena oseba, ki informira strokovno in laično javnost o zdravilih
farmakoinformatorjev | FARMAKOINFORMATOR - [farm.] magister farmacije, zdravnik, veterinar ali druga ustrezno usposobljena oseba, ki informira strokovno in laično javnost o zdravilih
farmakoinformatorjih | FARMAKOINFORMATOR - [farm.] magister farmacije, zdravnik, veterinar ali druga ustrezno usposobljena oseba, ki informira strokovno in laično javnost o zdravilih
farmakopsihiatrijama | FARMAKOPSIHIATRIJA - [pravopis]
farmakopsihiatrijami | FARMAKOPSIHIATRIJA - [pravopis]
farmakoterapevtskega | FARMAKOTERAPEVTSKI - [farm.] v zvezi »farmakoterapevtska skupina«: skupina zdravil z enakim ali podobnim farmakološkim delovanjem / skupina zdravstvenih strokovnjakov, ki sodeluje pri zdravljenju pacienta ali pacientov z zdravili
farmakoterapevtskemu | FARMAKOTERAPEVTSKI - [farm.] v zvezi »farmakoterapevtska skupina«: skupina zdravil z enakim ali podobnim farmakološkim delovanjem / skupina zdravstvenih strokovnjakov, ki sodeluje pri zdravljenju pacienta ali pacientov z zdravili
farmakoterapevtskima | FARMAKOTERAPEVTSKI - [farm.] v zvezi »farmakoterapevtska skupina«: skupina zdravil z enakim ali podobnim farmakološkim delovanjem / skupina zdravstvenih strokovnjakov, ki sodeluje pri zdravljenju pacienta ali pacientov z zdravili
farmakoterapevtskimi | FARMAKOTERAPEVTSKI - [farm.] v zvezi »farmakoterapevtska skupina«: skupina zdravil z enakim ali podobnim farmakološkim delovanjem / skupina zdravstvenih strokovnjakov, ki sodeluje pri zdravljenju pacienta ali pacientov z zdravili
feniletilizokinolina | FENILETILIZOKINOLIN - > FENILETILIZOKINOLINSKI - [farm.] v zvezi »feniletilizokinolinski alkaloid«: alkaloid iz skupine izokinolinskih alkaloidov, katerega osnovna struktura je feniletilizokinolin, npr. autumnalin
feniletilizokinoline | FENILETILIZOKINOLIN - > FENILETILIZOKINOLINSKI - [farm.] v zvezi »feniletilizokinolinski alkaloid«: alkaloid iz skupine izokinolinskih alkaloidov, katerega osnovna struktura je feniletilizokinolin, npr. autumnalin
feniletilizokinolini | FENILETILIZOKINOLIN - > FENILETILIZOKINOLINSKI - [farm.] v zvezi »feniletilizokinolinski alkaloid«: alkaloid iz skupine izokinolinskih alkaloidov, katerega osnovna struktura je feniletilizokinolin, npr. autumnalin
feniletilizokinolinu | FENILETILIZOKINOLIN - > FENILETILIZOKINOLINSKI - [farm.] v zvezi »feniletilizokinolinski alkaloid«: alkaloid iz skupine izokinolinskih alkaloidov, katerega osnovna struktura je feniletilizokinolin, npr. autumnalin
filmskozgodovinskega | FILMSKOZGODOVINSKI - [pravopis]
filmskozgodovinskemu | FILMSKOZGODOVINSKI - [pravopis]
filmskozgodovinskima | FILMSKOZGODOVINSKI - [pravopis]
filmskozgodovinskimi | FILMSKOZGODOVINSKI - [pravopis]
fitopaleontologijama | FITOPALEONTOLOGIJA - [geol.] paleontologija, ki proučuje fosilne rastlinske ostanke
fitopaleontologijami | FITOPALEONTOLOGIJA - [geol.] paleontologija, ki proučuje fosilne rastlinske ostanke
fizioterapevtskostih | FIZIOTERAPEVTSKOST - [pravopis]
fizioterapevtskostim | FIZIOTERAPEVTSKOST - [pravopis]
fizioterapevtskostjo | FIZIOTERAPEVTSKOST - [pravopis]
fizioterapevtskostma | FIZIOTERAPEVTSKOST - [pravopis]
fizioterapevtskostmi | FIZIOTERAPEVTSKOST - [pravopis]
flavinmononukleotida | FLAVINMONONUKLEOTID - > RIBOFLAVIN - [farm.] v vodi topen vitamin, sestavljen iz ribitola in dimetilizoaloksazina, ki se v organizmu pretvori v flavinmononukleotid in nato v flavin-adenin-dinukleotid, ki je kofaktor pri številnih redoks reakcijah, kjer pride do prenašanja hidridnih anionov in sodeluje pri rasti, antioksidantni zaščiti in metabolizmu številnih organskih molekul
flavinmononukleotide | FLAVINMONONUKLEOTID - > RIBOFLAVIN - [farm.] v vodi topen vitamin, sestavljen iz ribitola in dimetilizoaloksazina, ki se v organizmu pretvori v flavinmononukleotid in nato v flavin-adenin-dinukleotid, ki je kofaktor pri številnih redoks reakcijah, kjer pride do prenašanja hidridnih anionov in sodeluje pri rasti, antioksidantni zaščiti in metabolizmu številnih organskih molekul
flavinmononukleotidi | FLAVINMONONUKLEOTID - > RIBOFLAVIN - [farm.] v vodi topen vitamin, sestavljen iz ribitola in dimetilizoaloksazina, ki se v organizmu pretvori v flavinmononukleotid in nato v flavin-adenin-dinukleotid, ki je kofaktor pri številnih redoks reakcijah, kjer pride do prenašanja hidridnih anionov in sodeluje pri rasti, antioksidantni zaščiti in metabolizmu številnih organskih molekul
flavinmononukleotidu | FLAVINMONONUKLEOTID - > RIBOFLAVIN - [farm.] v vodi topen vitamin, sestavljen iz ribitola in dimetilizoaloksazina, ki se v organizmu pretvori v flavinmononukleotid in nato v flavin-adenin-dinukleotid, ki je kofaktor pri številnih redoks reakcijah, kjer pride do prenašanja hidridnih anionov in sodeluje pri rasti, antioksidantni zaščiti in metabolizmu številnih organskih molekul
fluoroogljikovodikih | FLUOROOGLJIKOVODIKI - [geog.] ozonski plasti škodljive tekoče spojine, pri katerih so vodikovi atomi v nasičenih ogljikovodikih v celoti ali delno zamenjani s fluorom in se uporabljajo kot pogonski plini v pršilnikih, hladilna sredstva v hladilnikih in klimatskih napravah, za maziva, gašenje
fluoroogljikovodikom | FLUOROOGLJIKOVODIKI - [geog.] ozonski plasti škodljive tekoče spojine, pri katerih so vodikovi atomi v nasičenih ogljikovodikih v celoti ali delno zamenjani s fluorom in se uporabljajo kot pogonski plini v pršilnikih, hladilna sredstva v hladilnikih in klimatskih napravah, za maziva, gašenje
fluoroogljikovodikov | FLUOROOGLJIKOVODIKI - [geog.] ozonski plasti škodljive tekoče spojine, pri katerih so vodikovi atomi v nasičenih ogljikovodikih v celoti ali delno zamenjani s fluorom in se uporabljajo kot pogonski plini v pršilnikih, hladilna sredstva v hladilnikih in klimatskih napravah, za maziva, gašenje
fluviodenudacijskega | FLUVIODENUDACIJSKI - [geog.] v zvezi »fluviodenudacijski relief«: relief z značilnimi oblikami, nastalimi z delovanjem tekoče vode, erozije in denudacije
fluviodenudacijskemu | FLUVIODENUDACIJSKI - [geog.] v zvezi »fluviodenudacijski relief«: relief z značilnimi oblikami, nastalimi z delovanjem tekoče vode, erozije in denudacije
fluviodenudacijskima | FLUVIODENUDACIJSKI - [geog.] v zvezi »fluviodenudacijski relief«: relief z značilnimi oblikami, nastalimi z delovanjem tekoče vode, erozije in denudacije
fluviodenudacijskimi | FLUVIODENUDACIJSKI - [geog.] v zvezi »fluviodenudacijski relief«: relief z značilnimi oblikami, nastalimi z delovanjem tekoče vode, erozije in denudacije
fotodiferenciacijama | FOTODIFERENCIACIJA - [bot.] nepovratni proces v rastlinah zaradi induktivnega delovanja svetlobe, ki sproži spremembe v zgradbi, rasti ali delovanju, npr. kalitev, cvetenje
fotodiferenciacijami | FOTODIFERENCIACIJA - [bot.] nepovratni proces v rastlinah zaradi induktivnega delovanja svetlobe, ki sproži spremembe v zgradbi, rasti ali delovanju, npr. kalitev, cvetenje
fotogrametričnostima | FOTOGRAMETRIČNOST - [pravopis]
fotokonduktivnostima | FOTOKONDUKTIVNOST - [geol.] prevodnost svetlobe v različnih snoveh enake debeline
fotoreporterskostima | FOTOREPORTERSKOST - [pravopis]
fotosenzibilizatorja | FOTOSENZIBILIZATOR - [farm.] učinkovina, ki povzroči povečano občutljivost na svetlobo
fotosenzibilizatorje | FOTOSENZIBILIZATOR - [farm.] učinkovina, ki povzroči povečano občutljivost na svetlobo
fotosenzibilizatorji | FOTOSENZIBILIZATOR - [farm.] učinkovina, ki povzroči povečano občutljivost na svetlobo
fotosenzibilizatorju | FOTOSENZIBILIZATOR - [farm.] učinkovina, ki povzroči povečano občutljivost na svetlobo
francoskogvajanskega | FRANCOSKOGVAJANSKI - [pravopis]
francoskogvajanskemu | FRANCOSKOGVAJANSKI - [pravopis]
francoskogvajanskima | FRANCOSKOGVAJANSKI - [pravopis]
francoskogvajanskimi | FRANCOSKOGVAJANSKI - [pravopis]
frekventacijskostima | FREKVENTACIJSKOST - [pravopis]
fundamentalističnega | FUNDAMENTALISTIČEN - > TALIB - pripadnik fundamentalističnega islamskega gibanja v Afganistanu
fundamentalističnemu | FUNDAMENTALISTIČEN - > TALIB - pripadnik fundamentalističnega islamskega gibanja v Afganistanu
fundamentalističnima | FUNDAMENTALISTIČEN - > TALIB - pripadnik fundamentalističnega islamskega gibanja v Afganistanu
fundamentalističnimi | FUNDAMENTALISTIČEN - > TALIB - pripadnik fundamentalističnega islamskega gibanja v Afganistanu
funkcijskozvrstnosti | FUNKCIJSKOZVRSTNOST - [pravopis]
galvanometalurgijama | GALVANOMETALURGIJA - [pravopis]
galvanometalurgijami | GALVANOMETALURGIJA - [pravopis]
galvanoplastičnostih | GALVANOPLASTIČNOST - [pravopis]
galvanoplastičnostim | GALVANOPLASTIČNOST - [pravopis]
galvanoplastičnostjo | GALVANOPLASTIČNOST - [pravopis]
galvanoplastičnostma | GALVANOPLASTIČNOST - [pravopis]
galvanoplastičnostmi | GALVANOPLASTIČNOST - [pravopis]
gamaaminobutanojskem | GAMAAMINOBUTANOJSKI - [farm.] v zvezi »gamaaminobutanojska kislina«:
gamaaminobutanojskih | GAMAAMINOBUTANOJSKI - [farm.] v zvezi »gamaaminobutanojska kislina«:
gamaaminobutanojskim | GAMAAMINOBUTANOJSKI - [farm.] v zvezi »gamaaminobutanojska kislina«:
gamakarboksilacijama | GAMAKARBOKSILACIJA - [farm.] posttranslacijska modifikacija, dodajanje karboksilne skupine na položaj γ v stranski verigi glutamatnih aminokislinskih ostankov, zlasti pri krvnih koagulacijskih faktorjih
gamakarboksilacijami | GAMAKARBOKSILACIJA - [farm.] posttranslacijska modifikacija, dodajanje karboksilne skupine na položaj γ v stranski verigi glutamatnih aminokislinskih ostankov, zlasti pri krvnih koagulacijskih faktorjih
gastroenterologijama | GASTROENTEROLOGIJA - veda o prebavnih organih in njihovih boleznih
gastroenterologijami | GASTROENTEROLOGIJA - veda o prebavnih organih in njihovih boleznih
gastrointestinalnega | GASTROINTESTINALEN - [farm.] v zvezi »gastrointestinalna uporaba«: aplikacija zdravila s sondo v želodec in tanko črevo
gastrointestinalnemu | GASTROINTESTINALEN - [farm.] v zvezi »gastrointestinalna uporaba«: aplikacija zdravila s sondo v želodec in tanko črevo
gastrointestinalnima | GASTROINTESTINALEN - [farm.] v zvezi »gastrointestinalna uporaba«: aplikacija zdravila s sondo v želodec in tanko črevo
gastrointestinalnimi | GASTROINTESTINALEN - [farm.] v zvezi »gastrointestinalna uporaba«: aplikacija zdravila s sondo v želodec in tanko črevo
generalpodpolkovnica | [pravopis]
generalpodpolkovnice | GENERALPODPOLKOVNICA - [pravopis]
generalpodpolkovnici | GENERALPODPOLKOVNICA - [pravopis]
generalpodpolkovnico | GENERALPODPOLKOVNICA - [pravopis]
generalpodpolkovnika | GENERALPODPOLKOVNIK - čin, za stopnjo višji od generalmajorja, ali nosilec tega čina
generalpodpolkovnike | GENERALPODPOLKOVNIK - čin, za stopnjo višji od generalmajorja, ali nosilec tega čina
generalpodpolkovniki | GENERALPODPOLKOVNIK - čin, za stopnjo višji od generalmajorja, ali nosilec tega čina
generalpodpolkovniku | GENERALPODPOLKOVNIK - čin, za stopnjo višji od generalmajorja, ali nosilec tega čina
generalpolkovničinem | GENERALPOLKOVNIČIN - [epravopis] 
generalpolkovničinih | GENERALPOLKOVNIČIN - [epravopis] 
generalpolkovničinim | GENERALPOLKOVNIČIN - [epravopis] 
generalporočničinega | GENERALPOROČNIČIN - [pravopis]
generalporočničinemu | GENERALPOROČNIČIN - [pravopis]
generalporočničinima | GENERALPOROČNIČIN - [pravopis]
generalporočničinimi | GENERALPOROČNIČIN - [pravopis]
geomorfokronologijah | GEOMORFOKRONOLOGIJA - [geog.] del geomorfologije, ki proučuje starost reliefnih oblik
geomorfokronologijam | GEOMORFOKRONOLOGIJA - [geog.] del geomorfologije, ki proučuje starost reliefnih oblik
gestaltpsihologijama | GESTALTPSIHOLOGIJA - [pravopis]
gestaltpsihologijami | GESTALTPSIHOLOGIJA - [pravopis]
geštaltpsihologijama | GEŠTALTPSIHOLOGIJA - [pravopis]
geštaltpsihologijami | GEŠTALTPSIHOLOGIJA - [pravopis]
glacioakumulacijskem | GLACIOAKUMULACIJSKI - [geog.] v zvezi »glacioakumulacijska oblika«: reliefna oblika, nastala z ledeniško akumulacijo
glacioakumulacijskih | GLACIOAKUMULACIJSKI - [geog.] v zvezi »glacioakumulacijska oblika«: reliefna oblika, nastala z ledeniško akumulacijo
glacioakumulacijskim | GLACIOAKUMULACIJSKI - [geog.] v zvezi »glacioakumulacijska oblika«: reliefna oblika, nastala z ledeniško akumulacijo
glasbenonarodopisnem | GLASBENONARODOPISEN - [pravopis]
glasbenonarodopisnih | GLASBENONARODOPISEN - [pravopis]
glasbenonarodopisnim | GLASBENONARODOPISEN - [pravopis]
glasbenozaložniškega | GLASBENOZALOŽNIŠKI - [epravopis] nanašajoč se na glasbeno založništvo
glasbenozaložniškemu | GLASBENOZALOŽNIŠKI - [epravopis] nanašajoč se na glasbeno založništvo
glasbenozaložniškima | GLASBENOZALOŽNIŠKI - [epravopis] nanašajoč se na glasbeno založništvo
glasbenozaložniškimi | GLASBENOZALOŽNIŠKI - [epravopis] nanašajoč se na glasbeno založništvo
glasbenozgodovinskem | GLASBENOZGODOVINSKI - nanašajoč se na glasbeno zgodovino
glasbenozgodovinskih | GLASBENOZGODOVINSKI - nanašajoč se na glasbeno zgodovino
glasbenozgodovinskim | GLASBENOZGODOVINSKI - nanašajoč se na glasbeno zgodovino
glikozaminoglikanoma | GLIKOZAMINOGLIKAN - [farm.] dolg, nerazvejen polisaharid, ki ga sestavljajo ponavljajoče se disaharidne enote iz heksoze in njenega amino derivata, npr. heparin, hialuronan, hondroitin
globinskopsihološkem | GLOBINSKOPSIHOLOŠKI - [pravopis]
globinskopsiholoških | GLOBINSKOPSIHOLOŠKI - [pravopis]
globinskopsihološkim | GLOBINSKOPSIHOLOŠKI - [pravopis]
glutamiltransferazah | GLUTAMILTRANSFERAZA - [farm.] v zvezi »gama glutamiltransferaza«: predstavnik skupine encimov, ki katalizirajo prenos končnega γ-glutamata od glutationa in drugih polipeptidov na nove aminokisline ali polipeptide
glutamiltransferazam | GLUTAMILTRANSFERAZA - [farm.] v zvezi »gama glutamiltransferaza«: predstavnik skupine encimov, ki katalizirajo prenos končnega γ-glutamata od glutationa in drugih polipeptidov na nove aminokisline ali polipeptide
gnomostereografskega | GNOMOSTEREOGRAFSKI - [geol.] v zvezi »gnomostereografska projekcija«: projekcija prebodišča pravokotnice na kristalno ploskev, ki prehaja skozi središče projekcijske ravnine, s kroglo
gnomostereografskemu | GNOMOSTEREOGRAFSKI - [geol.] v zvezi »gnomostereografska projekcija«: projekcija prebodišča pravokotnice na kristalno ploskev, ki prehaja skozi središče projekcijske ravnine, s kroglo
gnomostereografskima | GNOMOSTEREOGRAFSKI - [geol.] v zvezi »gnomostereografska projekcija«: projekcija prebodišča pravokotnice na kristalno ploskev, ki prehaja skozi središče projekcijske ravnine, s kroglo
gnomostereografskimi | GNOMOSTEREOGRAFSKI - [geol.] v zvezi »gnomostereografska projekcija«: projekcija prebodišča pravokotnice na kristalno ploskev, ki prehaja skozi središče projekcijske ravnine, s kroglo
gospodarskopolitičen | nanašajoč se na gospodarsko politiko
gospodarskopolitična | GOSPODARSKOPOLITIČEN - nanašajoč se na gospodarsko politiko
gospodarskopolitične | GOSPODARSKOPOLITIČEN - nanašajoč se na gospodarsko politiko
gospodarskopolitični | GOSPODARSKOPOLITIČEN - nanašajoč se na gospodarsko politiko
gospodarskopolitično | GOSPODARSKOPOLITIČEN - nanašajoč se na gospodarsko politiko
gospodarskoprometnem | GOSPODARSKOPROMETEN - [prav.] v zvezi »gospodarskoprometna klavzula«: klavzula v pogodbi, ki ni zakonsko opredeljena, a se med gospodarskimi subjekti običajno uporablja za določitev prevzema točno določenih pravic in obveznosti
gospodarskoprometnih | GOSPODARSKOPROMETEN - [prav.] v zvezi »gospodarskoprometna klavzula«: klavzula v pogodbi, ki ni zakonsko opredeljena, a se med gospodarskimi subjekti običajno uporablja za določitev prevzema točno določenih pravic in obveznosti
gospodarskoprometnim | GOSPODARSKOPROMETEN - [prav.] v zvezi »gospodarskoprometna klavzula«: klavzula v pogodbi, ki ni zakonsko opredeljena, a se med gospodarskimi subjekti običajno uporablja za določitev prevzema točno določenih pravic in obveznosti
gospodarstveničinega | GOSPODARSTVENIČIN - [pravopis]
gospodarstveničinemu | GOSPODARSTVENIČIN - [pravopis]
gospodarstveničinima | GOSPODARSTVENIČIN - [pravopis]
gospodarstveničinimi | GOSPODARSTVENIČIN - [pravopis]
gospostvaželjnostima | GOSPOSTVAŽELJNOST - želja, težnja po gospostvu
gvanozinmonofosfatih | GVANOZINMONOFOSFAT - [farm.] v zvezi »ciklični gvanozinmonofosfat«: nukleotid, ciklični diester gvanozina in fosforjeve(V) kisline na mestih C-3 in C-5 riboze, ki deluje kot sekundarni prenašalec
gvanozinmonofosfatom | GVANOZINMONOFOSFAT - [farm.] v zvezi »ciklični gvanozinmonofosfat«: nukleotid, ciklični diester gvanozina in fosforjeve(V) kisline na mestih C-3 in C-5 riboze, ki deluje kot sekundarni prenašalec
gvanozinmonofosfatov | GVANOZINMONOFOSFAT - [farm.] v zvezi »ciklični gvanozinmonofosfat«: nukleotid, ciklični diester gvanozina in fosforjeve(V) kisline na mestih C-3 in C-5 riboze, ki deluje kot sekundarni prenašalec
heksakisoktaedričnem | HEKSAKISOKTAEDRIČEN - [gem.] v zvezi »heksakisoktaedrični razred«: simetrijski razred kubičnega sistema s štirimi troštevnimi osmi, usmerjenimi po telesnih diagonalah kocke, tremi štirištevnimi osmi, ki sovpadajo s kristalografskimi osmi, štirimi vertikalnimi ravninami simetrije, štirimi poševnimi ravninami simetrije, ki se sekajo v troštevnih oseh, in eno horizontalno ravnino simetrije
heksakisoktaedričnih | HEKSAKISOKTAEDRIČEN - [gem.] v zvezi »heksakisoktaedrični razred«: simetrijski razred kubičnega sistema s štirimi troštevnimi osmi, usmerjenimi po telesnih diagonalah kocke, tremi štirištevnimi osmi, ki sovpadajo s kristalografskimi osmi, štirimi vertikalnimi ravninami simetrije, štirimi poševnimi ravninami simetrije, ki se sekajo v troštevnih oseh, in eno horizontalno ravnino simetrije
heksakisoktaedričnim | HEKSAKISOKTAEDRIČEN - [gem.] v zvezi »heksakisoktaedrični razred«: simetrijski razred kubičnega sistema s štirimi troštevnimi osmi, usmerjenimi po telesnih diagonalah kocke, tremi štirištevnimi osmi, ki sovpadajo s kristalografskimi osmi, štirimi vertikalnimi ravninami simetrije, štirimi poševnimi ravninami simetrije, ki se sekajo v troštevnih oseh, in eno horizontalno ravnino simetrije
heksakistetraedričen | [gem.] v zvezi »heksakistetraedrični razred«: simetrijski razred kubičnega sistema s štirimi troštevnimi osmi, usmerjenimi po telesnih diagonalah kocke, tremi inverznimi štirištevnimi osmi, ki sovpadajo s kristalografskimi osmi, dvema vertikalnima ravninama simetrije in štirimi poševnimi ravninami simetrije, ki se sekajo v troštevnih oseh
heksakistetraedrična | HEKSAKISTETRAEDRIČEN - [gem.] v zvezi »heksakistetraedrični razred«: simetrijski razred kubičnega sistema s štirimi troštevnimi osmi, usmerjenimi po telesnih diagonalah kocke, tremi inverznimi štirištevnimi osmi, ki sovpadajo s kristalografskimi osmi, dvema vertikalnima ravninama simetrije in štirimi poševnimi ravninami simetrije, ki se sekajo v troštevnih oseh
heksakistetraedrične | HEKSAKISTETRAEDRIČEN - [gem.] v zvezi »heksakistetraedrični razred«: simetrijski razred kubičnega sistema s štirimi troštevnimi osmi, usmerjenimi po telesnih diagonalah kocke, tremi inverznimi štirištevnimi osmi, ki sovpadajo s kristalografskimi osmi, dvema vertikalnima ravninama simetrije in štirimi poševnimi ravninami simetrije, ki se sekajo v troštevnih oseh
heksakistetraedrični | HEKSAKISTETRAEDRIČEN - [gem.] v zvezi »heksakistetraedrični razred«: simetrijski razred kubičnega sistema s štirimi troštevnimi osmi, usmerjenimi po telesnih diagonalah kocke, tremi inverznimi štirištevnimi osmi, ki sovpadajo s kristalografskimi osmi, dvema vertikalnima ravninama simetrije in štirimi poševnimi ravninami simetrije, ki se sekajo v troštevnih oseh
heksakistetraedrično | HEKSAKISTETRAEDRIČEN - [gem.] v zvezi »heksakistetraedrični razred«: simetrijski razred kubičnega sistema s štirimi troštevnimi osmi, usmerjenimi po telesnih diagonalah kocke, tremi inverznimi štirištevnimi osmi, ki sovpadajo s kristalografskimi osmi, dvema vertikalnima ravninama simetrije in štirimi poševnimi ravninami simetrije, ki se sekajo v troštevnih oseh
heteropolisaharidoma | HETEROPOLISAHARID - [bot.] polisaharid, ki je sestavljen iz večjega števila različnih monosaharidnih enot, npr. hemiceluloza
heteroseksualnostima | HETEROSEKSUALNOST - [esskj] stanje, občutje koga, da čuti spolno, ljubezensko privlačnost do oseb drugega spola
heterosilabičnostima | HETEROSILABIČNOST - [pravopis]
hidrazinoftalazinska | HIDRAZINOFTALAZINSKI - [farm.] v zvezi »hidrazinoftalazinski derivat«: antihipertenziv, derivat ftalazina s hidrazinsko skupino, ki zmanjša periferni upor z neposrednim delovanjem na gladke mišične celice v steni arteriol, kjer upočasni sproščanje kalcijevih ionov iz sarkoplazemskega retikuluma, npr. hidralazin
hidrazinoftalazinske | HIDRAZINOFTALAZINSKI - [farm.] v zvezi »hidrazinoftalazinski derivat«: antihipertenziv, derivat ftalazina s hidrazinsko skupino, ki zmanjša periferni upor z neposrednim delovanjem na gladke mišične celice v steni arteriol, kjer upočasni sproščanje kalcijevih ionov iz sarkoplazemskega retikuluma, npr. hidralazin
hidrazinoftalazinski | [farm.] v zvezi »hidrazinoftalazinski derivat«: antihipertenziv, derivat ftalazina s hidrazinsko skupino, ki zmanjša periferni upor z neposrednim delovanjem na gladke mišične celice v steni arteriol, kjer upočasni sproščanje kalcijevih ionov iz sarkoplazemskega retikuluma, npr. hidralazin
hidrazinoftalazinsko | HIDRAZINOFTALAZINSKI - [farm.] v zvezi »hidrazinoftalazinski derivat«: antihipertenziv, derivat ftalazina s hidrazinsko skupino, ki zmanjša periferni upor z neposrednim delovanjem na gladke mišične celice v steni arteriol, kjer upočasni sproščanje kalcijevih ionov iz sarkoplazemskega retikuluma, npr. hidralazin
hidroksietilškroboma | HIDROKSIETILŠKROB - > HESILACIJA - [farm.] postopek kovalentne vezave molekule hidroksietilškroba na določeno proteinsko učinkovino, da se doseže izboljšanje njenih farmakokinetičnih lastnosti
hidromelioracijskega | HIDROMELIORACIJSKI - nanašajoč se na hidromelioracijo
hidromelioracijskemu | HIDROMELIORACIJSKI - nanašajoč se na hidromelioracijo
hidromelioracijskima | HIDROMELIORACIJSKI - nanašajoč se na hidromelioracijo
hidromelioracijskimi | HIDROMELIORACIJSKI - nanašajoč se na hidromelioracijo
hidrometeorologijama | HIDROMETEOROLOGIJA - [geol.] veda o padavinah
hidrometeorologijami | HIDROMETEOROLOGIJA - [geol.] veda o padavinah
hifohitridiomicetama | HIFOHITRIDIOMICETA - > KROMISTI - [bot.] kraljestvo avtotrofnih ali heterotrofnih enoceličnih organizmov in steljčnic /Thallophyta/, ki obsega hifohitridiomicete (Hyphochytridiomycota), labirintulomicete (Labyrinthulomycota), oomicete (Oomycota), rjave alge (Phaeohyceae), zlate alge (Chrysophyceae), kremenaste alge (Bacillariophyceae), haptofite (Haptophyta)
hifohitridiomicetami | HIFOHITRIDIOMICETA - > KROMISTI - [bot.] kraljestvo avtotrofnih ali heterotrofnih enoceličnih organizmov in steljčnic /Thallophyta/, ki obsega hifohitridiomicete (Hyphochytridiomycota), labirintulomicete (Labyrinthulomycota), oomicete (Oomycota), rjave alge (Phaeohyceae), zlate alge (Chrysophyceae), kremenaste alge (Bacillariophyceae), haptofite (Haptophyta)
hiperakumulacijskega | HIPERAKUMULACIJSKI - [bot.] v zvezi »hiperakumulacijska rastlina«:
hiperakumulacijskemu | HIPERAKUMULACIJSKI - [bot.] v zvezi »hiperakumulacijska rastlina«:
hiperakumulacijskima | HIPERAKUMULACIJSKI - [bot.] v zvezi »hiperakumulacijska rastlina«:
hiperakumulacijskimi | HIPERAKUMULACIJSKI - [bot.] v zvezi »hiperakumulacijska rastlina«:
hiperdimenzionirajmo | HIPERDIMENZIONIRATI - določiti ali dati čemu čezmerne razsežnosti
hiperdimenzionirajta | HIPERDIMENZIONIRATI - določiti ali dati čemu čezmerne razsežnosti
hiperdimenzionirajte | HIPERDIMENZIONIRATI - določiti ali dati čemu čezmerne razsežnosti
hiperdimenzionirajva | HIPERDIMENZIONIRATI - določiti ali dati čemu čezmerne razsežnosti
hiperholesterolemija | > STATIN - [farm.] učinkovina, ki prepreči pretvorbo humanega menopavznega gonadotropina v mevalonat, znižuje plazemske koncentracije holesterola in se uporablja za zdravljenje hiperholesterolemij in hiperlipidemij, npr. simvastatin, lovastatin
hiperholesterolemije | HIPERHOLESTEROLEMIJA - > STATIN - [farm.] učinkovina, ki prepreči pretvorbo humanega menopavznega gonadotropina v mevalonat, znižuje plazemske koncentracije holesterola in se uporablja za zdravljenje hiperholesterolemij in hiperlipidemij, npr. simvastatin, lovastatin
hiperholesterolemiji | HIPERHOLESTEROLEMIJA - > STATIN - [farm.] učinkovina, ki prepreči pretvorbo humanega menopavznega gonadotropina v mevalonat, znižuje plazemske koncentracije holesterola in se uporablja za zdravljenje hiperholesterolemij in hiperlipidemij, npr. simvastatin, lovastatin
hiperholesterolemijo | HIPERHOLESTEROLEMIJA - > STATIN - [farm.] učinkovina, ki prepreči pretvorbo humanega menopavznega gonadotropina v mevalonat, znižuje plazemske koncentracije holesterola in se uporablja za zdravljenje hiperholesterolemij in hiperlipidemij, npr. simvastatin, lovastatin
hiperkreatininemijah | HIPERKREATININEMIJA - [farm.] stanje zvišane koncentracije kreatinina v serumu pri odraslih, ki se navadno pojavi ob zmanjšanem delovanju ledvic
hiperkreatininemijam | HIPERKREATININEMIJA - [farm.] stanje zvišane koncentracije kreatinina v serumu pri odraslih, ki se navadno pojavi ob zmanjšanem delovanju ledvic
hiperkultiviranostih | HIPERKULTIVIRANOST - [pravopis]
hiperkultiviranostim | HIPERKULTIVIRANOST - [pravopis]
hiperkultiviranostjo | HIPERKULTIVIRANOST - [pravopis]
hiperkultiviranostma | HIPERKULTIVIRANOST - [pravopis]
hiperkultiviranostmi | HIPERKULTIVIRANOST - [pravopis]
hiperlipoproteinemij | HIPERLIPOPROTEINEMIJA - [farm.] koncentracija lipoproteinov v serumu nad referenčnim območjem, pogosto povezana z razvojem ateroskleroze
hiperplastifikatorja | HIPERPLASTIFIKATOR - [b.k.] plastifikator tretje generacije, ki omogoča še višje znižanje vsebnosti vode v svežem betonu in še večje povečanje razleza kot superplastifikator
hiperplastifikatorje | HIPERPLASTIFIKATOR - [b.k.] plastifikator tretje generacije, ki omogoča še višje znižanje vsebnosti vode v svežem betonu in še večje povečanje razleza kot superplastifikator
hiperplastifikatorji | HIPERPLASTIFIKATOR - [b.k.] plastifikator tretje generacije, ki omogoča še višje znižanje vsebnosti vode v svežem betonu in še večje povečanje razleza kot superplastifikator
